;Wien;Eisenstadt;St. Poelten;Linz;Graz;Klagenfurt;Salzburg;Innsbruck;Bregenz
Wien;0;41;55;156;145;234;251;388;503
Eisenstadt;41;0;77;175;119;216;258;391;512
St. Poelten;55;77;0;101;127;202;198;335;447
Linz;156;175;101;0;163;187;108;246;352
Graz;145;119;127;163;0;100;199;336;434
Klagenfurt;234;216;202;187;100;0;163;234;361
Salzburg;251;258;198;108;199;163;0;138;252
Innsbruck;388;391;335;246;336;234;138;0;129
Bregenz;503;512;447;352;434;361;252;129;0
